Requestid,StatusCode,ip,url,type,timestamp,tableid,fromcache,method,target

6171,	200	,2a00:1450:4006:805::2003,https://fonts.gstatic.com/s/inter/v13/UcCO3FwrK3iLTeHuS_fvQtMwCp50KnMw2boKoduKmMEVuLyfAZ9hjQ.ttf	,font,	1702391635007.778,	1419931202,	true,	GET,malicious
6170,	200	,2a00:1450:4006:805::2003,https://fonts.gstatic.com/s/robotomono/v23/L0xuDF4xlVMF-BfR8bXMIhJHg45mwgGEFl0_3vq_ROW9.ttf,	font,	1702391635003.053	,1419931202,	true,	GET,good
6169,	200	,151.101.2.217,	https://cdn.plot.ly/plotly-2.6.3.min.js,	script	,1702391634620.656	,1419931202	,true	,GET,good
6168,	200	,2606:4700::6811:190e,	https://cdnjs.cloudflare.com/ajax/libs/mathjax/2.7.5/config/TeX-AMS_HTML.js?V=2.7.5	,script	,1702391633630.013,	1419931202	,true,	GET,good
6167,	200	,2606:4700::6811:190e,	https://cdnjs.cloudflare.com/ajax/libs/mathjax/2.7.5/MathJax.js?config=TeX-AMS_HTML,	script	,1702391633586.593,	1419931202	,true,	GET,good
6165,	200	,2606:4700:20::6818:b007,	https://api.cdnjs.com/libraries/mathjax?fields=version	,xmlhttprequest,	1702391633303.531	,1419931202	,true	,GET,good
6162,	200	,35.244.233.98,	https://www.kaggle.com/static/assets/vendor.js?v=6495db0178f667c72ee8,	script	,1702391633018.316	,1419931202	,true,	GET,good
6161,	200	,35.244.233.98,	https://www.kaggle.com/static/assets/notebookviewer.js?v=2994e193ba30c469e7eb,	script	,1702391632970.7	,1419931202	,true,	GET,good
6160,	200	,35.244.233.98,	https://www.kaggle.com/static/assets/vendor.css?v=7ab5aac43193369ca22e,	stylesheet	,1702391632946.894	,1419931202	,true	,GET,malicious
6159,	200	,35.244.233.98,	https://www.kaggle.com/static/assets/notebookviewer.css?v=9bc4d7cbafce57fcb2bd,	stylesheet	,1702391632938.899	,1419931202	,true,	GET,malicious
6158,	200	,35.244.233.98,	https://www.kaggle.com/static/assets/runtime.js?v=ab6cc099b848f16615bc	,script	,1702391632928.629	,1419931202	,true	,GET,malicious
6155,	200	,35.190.26.106,https://www.kaggleusercontent.com/static/mathjax/2.7.9/extensions/Safe.js?V=2.7.9	,script,	1702391632969.243,	1419931202	,true,	GET,good
6154,	200	,35.190.26.106,https://www.kaggleusercontent.com/static/mathjax/2.7.9/config/TeX-AMS-MML_HTMLorMML.js?V=2.7.9	,script	,1702391631937.388,	1419931202	,true	,GET,good
6153,	200	,2a00:1450:4006:800::200a,	https://identitytoolkit.googleapis.com/v1/accounts:lookup?key=AIzaSyD260rHHEeMVDGVqyWq0yszmLJ-5Cgkqrk	,xmlhttprequest	,1702391632344.165	,1419931202	,false,good	,POST
6152,	200	,2a00:1450:4006:800::200a,	https://identitytoolkit.googleapis.com/v1/accounts:signInWithCustomToken?key=AIzaSyD260rHHEeMVDGVqyWq0yszmLJ-5Cgkqrk,	xmlhttprequest,	1702391632656.412,	14,good19931202,	false,	POST
6151,	200	,35.244.233.98,	https://www.kaggle.com/api/i/kernels.KernelsService/GetKernelVersion	,xmlhttprequest,	1702391631545.624	,1419931202	,false	,POST,malicious
6150,	200	,35.244.233.98,	https://www.kaggle.com/api/i/tags.TagService/GetTagsById,	xmlhttprequest,	1702391631401.213	,1419931202	,false	,POST,good
6149,	200	,35.244.233.98,	https://www.kaggle.com/api/i/users.NudgeService/CheckForNudge	,xmlhttprequest	,1702391631103.207	,1419931202	,false	,POST,malicious
6148,	200	,35.244.233.98,	https://www.kaggle.com/api/i/active_events.ActiveEventService/GetActiveEventsFirebaseConfig,	xmlhttprequest,	1702391631109.1	,1419931202	,false,	POST,good
6147,	200	,35.244.233.98,	https://www.kaggle.com/static/images/kernel/viewer/comments.svg,	image	,1702391631558.884,	1419931202	,true,	GET,malicious
6146,	200	,35.244.233.98,	https://www.kaggle.com/static/images/kernel/viewer/logs.svg	,image	,1702391631556.464,	1419931202	,true	,GET,malicious
6145,	200	,35.244.233.98,	https://www.kaggle.com/static/images/kernel/viewer/output.svg	,image,	1702391631554.685	,1419931202	,true,	GET,malicious
6144,	200	,35.244.233.98,	https://www.kaggle.com/static/images/kernel/viewer/input.svg	,image,	1702391631549.064,	1419931202	,true,	GET,malicious
6143,	200	,35.244.233.98,	https://www.kaggle.com/api/i/education.EducationService/TrackEducation	,xmlhttprequest,	1702391631063.204,	1419931202	,false,	POST,malicious
6142,	200	,35.244.233.98,	https://www.kaggle.com/api/i/kernels.KernelsService/ListKernelVersions	,xmlhttprequest,	1702391631088.687,	1419931202,	false,	POST,good
6141,	200	,35.244.233.98,	https://www.kaggle.com/api/i/notifications.SubscriptionService/GetMySubscribeState	,xmlhttprequest	,1702391631073.287,	1419931202,	false,	POST,good
6140,	200	,35.244.233.98,	https://www.kaggle.com/api/i/kernels.KernelsService/GetKernelCategoryIds	,xmlhttprequest,	1702391631060.884,	1419931202	,false	,POST,good
6137,	200	,35.244.233.98,	https://www.kaggle.com/api/i/notifications.SubscriptionService/GetMySubscribeState,	xmlhttprequest	,1702391631054.881,	1419931202	,false	,POST,good
6136,	200	,35.244.233.98,	https://www.kaggle.com/api/i/diagnostics.MetricsService/RecordPageLoadMetrics	,xmlhttprequest	,1702391631015.097	,1419931202,false,	POST,good
6133,	200	,2a00:1450:4006:806::201b,	https://storage.googleapis.com/kaggle-avatars/thumbnails/1092946-kg.jpg	,image	,1702391631196.439,	1419931202	,true	,GET,good
6132,	200	,2a00:1450:4006:806::201b,	https://storage.googleapis.com/kaggle-avatars/thumbnails/3413400-kg.jpeg	,image	,1702391631032.834	,1419931202	,true	,GET,good
6131,	200	,2a00:1450:4006:806::201b,	https://storage.googleapis.com/kaggle-organizations/1099/thumbnail.png?r=980	,image	,1702391631075.509	,1419931202,	true,	GET,good
6130,	200	,2a00:1450:4006:806::201b,	https://storage.googleapis.com/kaggle-avatars/thumbnails/6437951-kg.jpeg	,image	,1702391631075.86,	1419931202	,true	,GET,good
6129,	200	,2a00:1450:4006:806::201b,	https://storage.googleapis.com/kaggle-avatars/thumbnails/11782859-gr.jpg	,image,	1702391631162.122	,1419931202	,true,	GET,good
6128,	200	,2a00:1450:4006:800::200e,	https://apis.google.com/_/scs/abc-static/_/js/k=gapi.lb.en.coKrc9A11Ng.O/m=auth2,	script	,1702391630673.142	,1419931202,	true,	GET,good
6127,	200	,35.190.26.106,	https://www.kaggleusercontent.com/static/mathjax/2.7.9/MathJax.js?config=TeX-AMS-MML_HTMLorMML,	script	,1702391631532.139	,1419931202	,true,	GET,good
6126,	200	,35.244.233.98,	https://www.kaggle.com/static/images/site-logo.svg,	image,	1702391630028.895	,1419931202	,true	,GET,good
6125,	200	,35.244.233.98,	https://www.kaggle.com/api/i/users.UsersService/GetCurrentUser	,xmlhttprequest	,1702391630324.472	,1419931202	,false,	POST,good
