Requestid,StatusCode,ip,url,type,timestamp,tableid,fromcache,method,target
1,404,192.168.1.1,https://example.com/page-not-found,html,1702391637000,1419931203,false,GET,good
2,200,192.168.1.2,https://example.com/home,html,1702391638000,1419931203,true,GET,good
3,302,192.168.1.3,https://example.com/redirected,html,1702391639000,1419931203,false,GET,good
4,200,192.168.1.4,https://example.com/image.jpg,image,1702391640000,1419931204,true,GET,good
5,200,192.168.1.5,https://example.com/style.css,css,1702391641000,1419931204,true,GET,good
6,500,192.168.1.6,https://example.com/server-error,html,1702391642000,1419931204,false,GET,malicious
7,200,192.168.1.7,https://example.com/success,html,1702391643000,1419931205,true,POST,good
8,403,192.168.1.8,https://example.com/forbidden,html,1702391644000,1419931205,false,GET,malicious
9,200,192.168.1.9,https://example.com/data.json,json,1702391645000,1419931205,true,GET,good
10,200,192.168.1.10,https://example.com/contact,html,1702391646000,1419931206,true,GET,good
11,200,192.168.1.11,https://example.com/about,html,1702391647000,1419931206,true,GET,good
12,301,192.168.1.12,https://example.com/redirect,html,1702391648000,1419931206,false,GET,good
13,200,192.168.1.13,https://example.com/anotherpage,html,1702391649000,1419931207,true,GET,good
14,404,192.168.1.14,https://example.com/notfound,html,1702391650000,1419931207,false,GET,good
15,200,192.168.1.15,https://example.com/portfolio,html,1702391651000,1419931207,true,GET,good
16,200,192.168.1.16,https://example.com/service,html,1702391652000,1419931208,true,GET,good
17,200,192.168.1.17,https://example.com/product,html,1702391653000,1419931208,true,GET,good
18,200,192.168.1.18,https://example.com/blog,html,1702391654000,1419931208,true,GET,good
19,200,192.168.1.19,https://example.com/article,html,1702391655000,1419931209,true,GET,good
20,500,192.168.1.20,https://example.com/internal-error,html,1702391656000,1419931209,false,GET,malicious
21,200,192.168.1.21,https://example.com/terms,html,1702391657000,1419931209,true,GET,good
22,403,192.168.1.22,https://example.com/permission-denied,html,1702391658000,1419931210,false,GET,malicious
23,200,192.168.1.23,https://example.com/faq,html,1702391659000,1419931210,true,GET,good
49,200,192.168.1.49,https://example.com/receipt,html,1702391685000,1419931219,true,GET,good
50,200,192.168.1.50,https://example.com/download,html,1702391686000,1419931219,true,GET,good
42,200,192.168.1.42,https://example.com/error,html,1702391678000,1419931216,true,GET,malicious
43,200,192.168.1.43,https://example.com/warning,html,1702391679000,1419931217,true,GET,malicious
42,200,192.168.1.42,https://example.com/error,html,1702391678000,1419931216,true,GET,malicious
43,200,192.168.1.43,https://example.com/warning,html,1702391679000,1419931217,true,GET,malicious
32,200,192.168.1.32,https://example.com/profile,html,1702391668000,1419931213,true,GET,good
33,200,192.168.1.33,https://example.com/settings,html,1702391669000,1419931213,true,GET,good
34,200,192.168.1.34,https://example.com/account,html,1702391670000,1419931214,true,GET,good
35,200,192.168.1.35,https://example.com/cart,html,1702391671000,1419931214,true,GET,good
